DROZAPOL,20140618,0.76,0.76,0.76,0.76,34
DSS,20140618,1.08,1.08,1.08,1.08,1170
DTP,20140618,6.00,6.00,6.00,6.00,11
DUON,20140618,1.50,1.52,1.50,1.50,126246
ECHO,20140618,6.89,6.94,6.84,6.90,275244
EFEKT,20140618,11.55,11.55,11.35,11.35,149
EFH,20140618,0.40,0.42,0.39,0.40,426224
EKANCELAR,20140618,0.94,0.94,0.93,0.93,1598
EKOEXPORT,20140618,34.85,35.49,34.57,34.80,10055
ELBUDOWA,20140618,84.01,84.20,82.00,82.04,1290
ELEKTROTI,20140618,9.41,9.42,9.40,9.42,693
ELEMENTAL,20140618,2.40,2.48,2.40,2.48,60021
ELKOP,20140618,1.26,1.27,1.24,1.26,4707
ELZAB,20140618,11.65,11.87,11.56,11.87,7574
EMCINSMED,20140618,16.19,16.19,16.19,16.19,1
EMPERIA,20140618,60.00,60.06,59.34,60.00,1632
ENAP,20140618,1.00,1.04,1.00,1.04,7029
ENEA,20140618,16.19,16.40,16.16,16.37,419383
ENELMED,20140618,10.60,10.60,10.31,10.41,896
ENERGA,20140618,20.59,20.73,20.36,20.59,3024248
ENERGOINS,20140618,15.00,15.62,14.96,15.00,6424
ERBUD,20140618,26.70,26.70,25.36,25.41,4141
ERGIS,20140618,4.24,4.30,4.20,4.28,59616
ESSYSTEM,20140618,2.85,2.85,2.85,2.85,116
ETFDAX,20140618,400.00,400.00,399.36,399.36,38
ETFSP500,20140618,61.00,61.00,60.70,60.88,120
ETFW20L,20140618,272.00,273.56,272.00,273.51,799
EUCO,20140618,21.52,21.75,20.71,20.78,2206
EUROCASH,20140618,42.93,42.95,42.15,42.89,339249
EUROTEL,20140618,12.37,12.37,12.37,12.37,97
FAMUR,20140618,4.85,4.86,4.77,4.80,23271
FARMACOL,20140618,52.61,52.61,52.15,52.15,696
FASING,20140618,19.80,19.81,19.80,19.80,1734
FEERUM,20140618,23.39,23.39,21.98,23.30,1006
FERRO,20140618,11.80,11.80,11.52,11.65,3730
FON,20140618,1.14,1.14,1.10,1.13,4197
FORTE,20140618,47.92,48.50,47.63,48.05,6972
FOTA,20140618,1.31,1.31,1.24,1.29,30487
GANT,20140618,0.44,0.45,0.41,0.41,723579
GETIN,20140618,3.23,3.28,3.18,3.19,157909
GETINOBLE,20140618,3.18,3.24,3.15,3.24,1228602
GINOROSSI,20140618,3.00,3.01,2.99,3.00,176320
GLCOSMED,20140618,2.19,2.19,2.19,2.19,10
GLOBALNRG,20140618,0.36,0.38,0.35,0.37,668155
GLOBCITYHD,20140618,34.03,34.78,34.03,34.72,275
GNFIBA1014,20140618,97.00,97.00,97.00,97.00,246
GORENJE,20140618,21.70,21.70,21.65,21.69,502
GPW,20140618,38.98,38.98,38.76,38.84,9073
GRAAL,20140618,16.87,17.09,16.87,17.00,1767
GRAJEWO,20140618,26.00,27.59,26.00,26.49,14737
GREENECO,20140618,0.40,0.42,0.40,0.42,2001
GROCLIN,20140618,23.45,23.98,23.45,23.75,3113
GRUPAAZOTY,20140618,77.25,77.50,76.31,76.90,48822
GTC,20140618,8.16,8.24,8.15,8.24,222422
HANDLOWY,20140618,122.30,122.40,118.50,118.50,61499
HARPER,20140618,3.80,3.80,3.79,3.80,771
HAWE,20140618,3.13,3.14,3.10,3.12,146018
HELIO,20140618,7.00,7.00,7.00,7.00,282
HERKULES,20140618,2.43,2.50,2.43,2.45,17596
HUTMEN,20140618,4.33,4.33,4.23,4.31,556
HYDROTOR,20140618,33.10,33.49,33.00,33.49,202
HYGIENIKA,20140618,2.57,2.57,2.46,2.48,29247
HYPERION,20140618,3.00,3.00,2.75,2.75,6798
IDEATFI,20140618,0.81,0.82,0.80,0.80,35000
IFCAPITAL,20140618,1.21,1.25,1.21,1.25,328
IIAAV,20140618,11.05,11.10,11.03,11.03,19920
IMCOMPANY,20140618,10.00,10.18,10.00,10.06,1401
IMMOBILE,20140618,1.93,1.93,1.88,1.90,8466
IMPEL,20140618,30.00,30.40,29.20,29.95,4308
IMPEXMET,20140618,2.59,2.63,2.56,2.57,267812
INC,20140618,0.70,0.71,0.69,0.71,13020
INDYGO,20140618,1.36,1.40,1.36,1.38,104107
INDYKPOL,20140618,36.40,36.40,35.55,36.36,27
INGBSK,20140618,131.55,133.05,129.80,130.50,4109
INPRO,20140618,5.40,5.40,5.24,5.24,3151
INSTALKRK,20140618,18.33,18.50,18.25,18.45,3615
INTEGERPL,20140618,244.65,244.65,240.60,240.60,1390
INTERAOLT,20140618,15.06,15.50,15.04,15.04,3658
INTERBUD,20140618,1.17,1.21,1.14,1.21,2072
INTERCARS,20140618,184.60,185.95,184.10,185.95,825
INTERSPPL,20140618,1.71,1.71,1.71,1.71,16
INTROL,20140618,8.19,8.19,8.15,8.15,133
INVGLDFIZ,20140618,1655.00,1655.00,1655.00,1655.00,1
INVPEFIZ,20140618,903.00,903.00,902.00,902.00,15
IPERMFIZ,20140618,71.45,73.90,71.45,73.90,120
IPOPEMA,20140618,5.59,5.59,5.58,5.58,77
IQP,20140618,1.21,1.21,1.18,1.20,9979
IVMX,20140618,3.75,3.75,3.75,3.75,1
IZOLACJA,20140618,0.70,0.70,0.70,0.70,2
IZOSTAL,20140618,5.90,6.05,5.90,6.01,10429
JHMDEV,20140618,0.51,0.51,0.50,0.50,52879
JJAUTO,20140618,30.00,30.58,28.30,29.00,2333
JSW,20140618,45.90,47.20,45.90,47.02,131244
JUPITER,20140618,0.45,0.45,0.45,0.45,1613
JWCONSTR,20140618,3.34,3.45,3.34,3.37,8932
K2INTERNT,20140618,11.34,11.55,11.34,11.55,462
KANIA,20140618,2.66,2.69,2.63,2.64,19845
KBDOM,20140618,4.12,4.36,4.12,4.36,824
KERNEL,20140618,33.30,33.30,32.65,33.03,55225
KETY,20140618,212.30,217.05,212.30,214.55,5367
KGHM,20140618,122.75,125.60,122.55,125.60,1190222
KINOPOL,20140618,16.81,16.81,16.81,16.81,50
KOFOLA,20140618,35.15,35.15,35.15,35.15,1
KOMPAP,20140618,7.45,8.19,7.45,8.19,24
KOMPUTRON,20140618,9.23,9.35,9.13,9.23,21451
KONSSTALI,20140618,24.96,24.96,24.96,24.96,2
KOPEX,20140618,12.54,12.60,12.45,12.54,9631
KRAKCHEM,20140618,5.89,5.89,5.77,5.86,1276
KREC,20140618,7.39,7.39,7.07,7.07,1720
KREDYTIN,20140618,19.69,19.77,19.69,19.69,4219
KREZUS,20140618,6.32,6.43,6.11,6.11,26960
KRKA,20140618,300.00,300.00,300.00,300.00,29
KRUK,20140618,96.10,96.10,95.45,95.45,3426
KRUSZWICA,20140618,60.00,60.05,58.50,60.05,656
LCCORP,20140618,2.21,2.21,2.18,2.19,129496
LENA,20140618,4.30,4.38,4.29,4.35,5100
LENTEX,20140618,7.93,7.94,7.86,7.89,25850
LIBET,20140618,3.16,3.18,3.13,3.18,1960
LIVECHAT,20140618,18.19,18.25,18.19,18.20,447
LOTOS,20140618,38.21,38.49,38.08,38.44,57970
LPP,20140618,8380.00,8380.00,8120.00,8120.00,306
LSISOFT,20140618,6.47,7.03,6.25,7.03,115667
LUBAWA,20140618,1.17,1.18,1.16,1.18,46729
MABION,20140618,50.40,51.40,49.56,51.00,2361
MAGELLAN,20140618,70.87,71.01,70.00,70.13,1532
MAKARONPL,20140618,4.40,4.40,4.40,4.40,2
MARVIPOL,20140618,7.01,7.04,6.81,6.82,7032
MBANK,20140618,510.00,518.80,507.40,508.00,27318
MCI,20140618,9.90,9.96,9.69,9.81,23591
MCLOGIC,20140618,39.40,39.50,39.35,39.35,56
MEDIATEL,20140618,0.74,0.77,0.74,0.75,15355
MEDICALG,20140618,261.00,267.80,258.90,267.80,3759
MENNICA,20140618,14.05,14.08,13.99,14.00,14523
MERCATOR,20140618,12.98,12.98,12.46,12.90,423
MERCOR,20140618,18.77,18.87,18.50,18.50,41735
MEXPOLSKA,20140618,1.97,2.09,1.85,2.09,59889
MFO,20140618,11.27,11.27,11.27,11.27,33
MIDAS,20140618,0.55,0.56,0.55,0.56,330407
MIESZKO,20140618,3.57,3.57,3.56,3.56,450
MILKILAND,20140618,6.60,6.81,6.54,6.81,325
MILLENNIUM,20140618,8.49,8.51,8.32,8.32,201271
MIRBUD,20140618,1.54,1.58,1.54,1.58,336643
MIT,20140618,0.41,0.42,0.39,0.40,786100
MLPGROUP,20140618,26.30,26.30,26.30,26.30,10
MNI,20140618,1.66,1.70,1.66,1.69,20100
MOBRUK,20140618,23.00,24.70,22.00,24.70,821
MONNARI,20140618,8.65,8.76,8.62,8.72,21774
MOSTALPLC,20140618,15.20,15.20,14.84,14.84,74
MOSTALWAR,20140618,5.55,5.55,5.41,5.47,6452
MOSTALZAB,20140618,1.93,1.93,1.90,1.92,52308
MWTRADE,20140618,17.09,17.09,17.09,17.09,75
NETIA,20140618,5.15,5.19,5.07,5.19,1484912
NETMEDIA,20140618,3.49,3.49,3.40,3.48,31687
NEUCA,20140618,237.70,237.70,230.00,235.00,686
NEWAG,20140618,19.50,19.79,19.50,19.75,8444
NEWWORLDR,20140618,1.46,1.46,1.44,1.46,2012
NFIEMF,20140618,12.90,12.90,12.61,12.61,863
NOKAUT,20140618,1.20,1.21,1.20,1.21,10712
NORTCOAST,20140618,0.38,0.42,0.38,0.42,176335
NOVITA,20140618,32.00,32.00,31.90,32.00,5078
NTTSYSTEM,20140618,0.63,0.63,0.63,0.63,10886
OPENFIN,20140618,9.80,10.39,9.80,9.90,37946
OPONEO.PL,20140618,13.30,13.30,13.30,13.30,30
ORANGEPL,20140618,10.34,10.37,10.24,10.29,5357399
ORBIS,20140618,42.24,43.19,42.17,43.11,820
ORCOGROUP,20140618,2.37,2.37,2.28,2.30,12110
OTLOG,20140618,201.00,206.00,201.00,206.00,4
OTMUCHOW,20140618,9.28,9.33,9.28,9.28,1793
OVOSTAR,20140618,72.00,72.00,72.00,72.00,1000
PAGED,20140618,38.53,39.50,38.50,38.91,5159
PANOVA,20140618,17.30,17.30,17.30,17.30,108
PATENTUS,20140618,1.45,1.51,1.45,1.51,2012
PBG,20140618,2.09,2.09,2.02,2.03,16254
PBOANIOLA,20140618,0.77,0.77,0.72,0.72,575
PBSFINANSE,20140618,4.17,4.17,4.16,4.17,750
PCCEXOL,20140618,3.91,3.91,3.91,3.91,40
PCCINTER,20140618,1.55,1.56,1.55,1.56,15720
PCGUARD,20140618,1.09,1.11,1.05,1.08,881516
PCM,20140618,43.00,43.50,43.00,43.00,108636
PEKAES,20140618,12.20,12.65,12.20,12.65,8159
PEKAO,20140618,182.10,182.25,179.20,180.00,419012
PELION,20140618,78.30,79.85,78.30,79.85,1332
PEP,20140618,26.20,26.20,26.20,26.20,2
