DUDA,20140616,0.78,0.78,0.76,0.77,289060
DUON,20140616,1.47,1.49,1.46,1.48,20448
ECHO,20140616,6.47,6.64,6.44,6.60,337540
EDINVEST,20140616,3.48,3.48,3.48,3.48,1
EFEKT,20140616,11.00,11.52,10.80,11.52,184
EFH,20140616,0.44,0.44,0.40,0.43,347286
EKANCELAR,20140616,0.87,0.95,0.84,0.95,6889
EKOEXPORT,20140616,36.10,36.10,34.80,34.85,18955
ELBUDOWA,20140616,85.50,85.60,84.50,84.89,17463
ELEKTROTI,20140616,9.54,9.54,9.30,9.40,1770
ELEMENTAL,20140616,2.46,2.46,2.41,2.44,21604
ELKOP,20140616,1.23,1.24,1.18,1.24,4068
ELZAB,20140616,12.20,12.20,12.00,12.20,359
EMCINSMED,20140616,16.42,16.42,16.42,16.42,39
EMPERIA,20140616,60.20,60.50,59.08,60.40,3846
ENAP,20140616,1.03,1.03,0.99,1.00,5503
ENEA,20140616,16.00,16.18,15.95,16.14,152822
ENELMED,20140616,10.22,10.30,10.22,10.30,954
ENERGA,20140616,20.15,20.44,19.50,20.40,1033010
ENERGOINS,20140616,15.00,15.00,14.52,14.52,103325
ERBUD,20140616,25.22,25.60,25.22,25.25,245
ERGIS,20140616,4.17,4.24,4.17,4.17,687
ESSYSTEM,20140616,2.86,2.86,2.86,2.86,1
ETFDAX,20140616,387.00,397.50,387.00,397.50,181
ETFSP500,20140616,60.20,60.20,60.20,60.20,4
ETFW20L,20140616,267.41,270.00,267.41,268.02,3713
EUCO,20140616,21.00,21.00,20.16,20.40,2419
EUROCASH,20140616,42.44,43.16,42.05,42.75,152949
EUROTEL,20140616,12.60,12.60,12.01,12.15,359
FAMUR,20140616,4.85,4.89,4.79,4.83,36540
FARMACOL,20140616,51.80,52.99,51.40,52.97,10263
FASING,20140616,20.19,20.19,20.19,20.19,107
FEERUM,20140616,23.39,23.39,22.20,23.39,224
FERRO,20140616,11.40,11.69,11.38,11.38,5984
FON,20140616,1.12,1.12,1.08,1.11,3291
FORTE,20140616,48.01,48.39,47.60,48.39,1915
FORTUNA,20140616,19.50,19.98,19.17,19.25,6243
FOTA,20140616,1.33,1.33,1.28,1.28,8210
GANT,20140616,0.45,0.47,0.44,0.45,164305
GETIN,20140616,3.25,3.25,3.18,3.24,213484
GETINOBLE,20140616,3.12,3.17,3.11,3.16,891249
GINOROSSI,20140616,2.75,2.85,2.75,2.85,197630
GLCOSMED,20140616,2.03,2.20,2.03,2.20,7677
GLOBALNRG,20140616,0.39,0.41,0.37,0.38,1849259
GLOBCITYHD,20140616,34.67,34.82,34.67,34.70,1216
GNFIBA0814,20140616,98.80,98.80,98.80,98.80,110
GNFIBA1214,20140616,97.20,97.20,97.20,97.20,80
GORENJE,20140616,20.71,21.70,20.71,21.70,3
GPW,20140616,38.67,39.00,38.60,38.99,40313
GRAAL,20140616,16.84,17.04,16.84,17.04,3562
GRAJEWO,20140616,26.40,26.80,24.82,25.85,3571
GREENECO,20140616,0.40,0.40,0.39,0.39,2999
GREMMEDIA,20140616,1.72,1.81,1.72,1.81,10407
GROCLIN,20140616,23.98,24.78,23.73,23.93,17743
GRUPAAZOTY,20140616,71.00,75.87,70.00,75.87,143090
GTC,20140616,7.99,8.05,7.87,8.01,79855
HANDLOWY,20140616,117.80,121.50,117.60,120.40,27737
HARPER,20140616,3.80,3.80,3.64,3.64,4840
HAWE,20140616,3.06,3.09,2.93,3.09,542403
HELIO,20140616,6.99,6.99,6.99,6.99,47
HERKULES,20140616,2.47,2.47,2.40,2.46,25021
HUTMEN,20140616,4.24,4.30,4.21,4.22,9591
HYDROTOR,20140616,33.49,33.49,32.50,33.00,571
HYGIENIKA,20140616,2.52,2.53,2.46,2.49,82002
HYPERION,20140616,3.01,3.01,2.77,3.00,381
IDEATFI,20140616,0.80,0.80,0.80,0.80,500
IFCAPITAL,20140616,1.26,1.26,1.20,1.26,1767
IIAAV,20140616,10.99,10.99,10.96,10.96,131
IMCOMPANY,20140616,10.15,10.15,9.92,10.00,35371
IMMOBILE,20140616,1.90,1.92,1.89,1.89,105638
IMPEL,20140616,30.51,30.51,29.70,30.00,847
IMPEXMET,20140616,2.59,2.61,2.56,2.59,116622
INC,20140616,0.73,0.73,0.73,0.73,1800
INDYGO,20140616,1.32,1.37,1.32,1.36,211777
INDYKPOL,20140616,36.50,36.60,36.40,36.40,329
INGBSK,20140616,129.45,130.95,128.10,129.80,5269
INPRO,20140616,5.40,5.40,5.25,5.40,827
INSTALKRK,20140616,18.54,18.54,18.30,18.52,1793
INTEGERPL,20140616,240.10,240.10,236.50,239.30,6753
INTERAOLT,20140616,15.08,15.14,15.05,15.11,3428
INTERBUD,20140616,1.26,1.26,1.10,1.24,64665
INTERCARS,20140616,188.00,189.40,185.65,189.40,160
INTERSPPL,20140616,1.72,1.72,1.71,1.71,25
INTROL,20140616,8.25,8.25,8.25,8.25,671
INVFIZ,20140616,1020.00,1030.00,1020.00,1030.00,35
INVPEFIZ,20140616,900.02,910.00,900.02,903.00,53
IPOPEMA,20140616,5.59,5.59,5.56,5.59,822
IQP,20140616,1.19,1.22,1.17,1.18,17601
IVMX,20140616,3.79,3.79,3.68,3.68,1032
IZOLACJA,20140616,0.70,0.70,0.70,0.70,2
IZOSTAL,20140616,5.83,5.85,5.83,5.85,400
JHMDEV,20140616,0.50,0.51,0.49,0.51,37256
JSW,20140616,45.19,45.66,43.54,45.66,94076
JUPITER,20140616,0.44,0.44,0.44,0.44,4018
JWCONSTR,20140616,3.49,3.49,3.44,3.44,5535
K2INTERNT,20140616,11.56,11.99,11.10,11.55,749
KANIA,20140616,2.74,2.74,2.69,2.69,29799
KBDOM,20140616,4.41,4.41,4.25,4.36,2150
KERNEL,20140616,33.00,33.40,32.51,33.34,189605
KETY,20140616,214.00,214.00,212.65,213.85,404
KGHM,20140616,118.90,120.70,118.30,120.10,468847
KINOPOL,20140616,16.60,16.98,16.60,16.98,2341
KOFOLA,20140616,35.15,35.15,35.15,35.15,1
KOGENERA,20140616,69.48,69.49,69.40,69.49,205
KOMPAP,20140616,7.54,8.11,7.47,8.11,5002
KOMPUTRON,20140616,8.65,8.90,8.60,8.90,19982
KONSSTALI,20140616,24.95,24.95,24.95,24.95,2
KOPEX,20140616,12.70,12.72,12.53,12.59,12658
KRAKCHEM,20140616,5.75,5.81,5.70,5.80,2547
KREC,20140616,7.12,7.70,7.12,7.40,5538
KREDYTIN,20140616,19.38,19.65,19.19,19.30,4880
KREZUS,20140616,6.12,6.19,5.90,6.16,29548
KRUK,20140616,95.98,95.98,95.01,95.40,2414
KRUSZWICA,20140616,60.84,60.84,59.75,60.84,1304
LCCORP,20140616,2.18,2.21,2.16,2.20,234772
LENA,20140616,4.29,4.29,4.20,4.27,8266
LENTEX,20140616,7.84,7.98,7.76,7.78,7926
LIBET,20140616,3.22,3.22,3.10,3.13,6757
LIVECHAT,20140616,18.20,18.20,17.60,18.14,965
LMDSFIZ,20140616,1238.00,1238.00,1238.00,1238.00,1
LOTOS,20140616,38.20,38.35,37.92,38.06,39101
LPP,20140616,8250.00,8305.95,8250.00,8300.00,298
LSISOFT,20140616,6.21,6.45,6.21,6.30,1216
LUBAWA,20140616,1.17,1.19,1.15,1.17,194457
MABION,20140616,48.10,49.90,48.10,49.50,16096
MAGELLAN,20140616,73.21,73.21,71.96,73.20,2563
MAKARONPL,20140616,4.45,4.58,4.15,4.15,16049
MARVIPOL,20140616,6.85,6.97,6.85,6.97,1330
MBANK,20140616,501.30,507.00,498.00,505.20,14515
MCI,20140616,9.71,9.75,9.62,9.75,32811
MEDIATEL,20140616,0.72,0.72,0.72,0.72,78547
MEDICALG,20140616,235.00,251.00,231.10,251.00,3569
MENNICA,20140616,14.00,14.18,14.00,14.18,5496
MERCATOR,20140616,12.20,13.00,11.92,13.00,5076
MERCOR,20140616,19.09,19.09,18.75,18.95,103091
MEXPOLSKA,20140616,2.16,2.20,1.95,2.20,20134
MFO,20140616,11.29,11.29,11.29,11.29,5
MIDAS,20140616,0.56,0.56,0.55,0.56,303094
MIESZKO,20140616,3.65,3.65,3.55,3.55,1457
MILKILAND,20140616,7.10,7.10,6.55,6.81,6333
MILLENNIUM,20140616,8.11,8.30,8.10,8.29,173575
MIRBUD,20140616,1.48,1.52,1.48,1.51,137774
MIT,20140616,0.38,0.39,0.37,0.39,260259
MNI,20140616,1.70,1.72,1.67,1.69,11711
MOBRUK,20140616,20.50,22.22,20.50,22.00,3704
MOJ,20140616,1.89,1.89,1.89,1.89,100
MOL,20140616,171.55,174.00,169.00,170.10,139
MONNARI,20140616,8.31,8.71,8.31,8.64,19451
MOSTALPLC,20140616,15.20,15.20,15.00,15.20,26
MOSTALWAR,20140616,5.63,5.63,5.31,5.55,11044
MOSTALZAB,20140616,1.93,1.94,1.92,1.94,120580
MUZA,20140616,3.35,3.58,3.35,3.58,20
MWTRADE,20140616,16.41,17.00,16.40,17.00,1316
NETIA,20140616,5.20,5.20,5.15,5.18,195650
NETMEDIA,20140616,3.16,3.42,3.16,3.42,32910
NEUCA,20140616,233.55,241.00,223.10,235.00,1772
NEWAG,20140616,19.98,19.98,19.50,19.75,2532
NEWWORLDR,20140616,1.47,1.47,1.41,1.45,8931
NFIEMF,20140616,12.40,12.41,12.40,12.41,193
NOKAUT,20140616,1.28,1.28,1.17,1.25,25288
NORTCOAST,20140616,0.40,0.40,0.40,0.40,1041
NOVITA,20140616,32.95,32.95,32.70,32.75,343
NOWAGALA,20140616,1.39,1.39,1.34,1.34,10020
NTTSYSTEM,20140616,0.62,0.62,0.62,0.62,1500
ODLEWNIE,20140616,2.32,2.39,2.32,2.39,5919
OPENFIN,20140616,9.55,9.60,9.35,9.35,5910
OPERA3GR,20140616,370.32,370.32,370.32,370.32,2
OPONEO.PL,20140616,13.39,13.39,13.39,13.39,20
ORANGEPL,20140616,10.39,10.40,10.26,10.30,1355757
ORBIS,20140616,42.70,42.95,41.80,42.70,7769
ORCOGROUP,20140616,2.26,2.26,2.18,2.26,23676
OTMUCHOW,20140616,9.31,9.32,9.20,9.20,10624
OVOSTAR,20140616,70.00,70.00,68.00,68.00,359
PAGED,20140616,38.95,38.95,37.76,38.60,6725
PANOVA,20140616,17.80,17.80,17.80,17.80,1
PATENTUS,20140616,1.52,1.52,1.52,1.52,10
PBG,20140616,2.08,2.10,2.04,2.10,6263
PBOANIOLA,20140616,0.78,0.79,0.78,0.79,1800
PBSFINANSE,20140616,4.10,4.19,4.10,4.17,655
PCCEXOL,20140616,3.86,4.02,3.74,3.91,3899
PCCINTER,20140616,1.57,1.68,1.57,1.60,15350
PCGUARD,20140616,1.24,1.25,1.22,1.23,203763
PCM,20140616,42.50,42.98,42.50,42.98,1600
PEIXIN,20140616,17.22,17.98,17.21,17.98,534
PEKAES,20140616,11.80,11.80,11.36,11.71,1341
PEKAO,20140616,181.75,183.40,178.00,182.95,258850
PELION,20140616,78.01,78.10,78.01,78.10,686
PEP,20140616,26.20,26.20,25.34,26.20,107
PEPEES,20140616,0.53,0.54,0.53,0.54,3950
PGE,20140616,21.55,21.58,21.16,21.45,1138088
PGNIG,20140616,5.09,5.13,5.04,5.13,1531287
PGODLEW,20140616,4.22,4.64,4.22,4.49,695
PHN,20140616,28.10,28.30,28.05,28.29,2594
PKNORLEN,20140616,40.83,40.83,40.30,40.51,482271
PKOBP,20140616,39.80,40.18,39.39,40.10,905864
PKOGS,20140616,99.00,99.00,98.85,98.86,2744
PKOSO,20140616,98.71,98.71,98.71,98.71,500
PKPCARGO,20140616,81.28,81.28,79.71,79.80,36805
PLASTBOX,20140616,2.41,2.41,2.33,2.33,4010
